sentence_id,token_idx,token,pos,head_idx,head_token,rel
1,1,孔乙己,nh,0,ROOT,_
1,2,是,v,0,ROOT,_
1,3,站,v,0,ROOT,_
1,4,着,u,0,ROOT,_
1,5,喝,v,0,ROOT,_
1,6,酒,n,0,ROOT,_
1,7,而,c,0,ROOT,_
1,8,穿,v,0,ROOT,_
1,9,长衫,a,0,ROOT,_
1,10,的,u,0,ROOT,_
1,11,唯一,b,0,ROOT,_
1,12,的,u,0,ROOT,_
1,13,人,n,0,ROOT,_
1,14,。,wp,0,ROOT,_
1,15,他,r,0,ROOT,_
1,16,身材,n,0,ROOT,_
1,17,很,d,0,ROOT,_
1,18,高大,a,0,ROOT,_
1,19,：,wp,0,ROOT,_
1,20,青白,z,0,ROOT,_
1,21,脸色,n,0,ROOT,_
1,22,，,wp,0,ROOT,_
1,23,皱纹,n,0,ROOT,_
1,24,间,nd,0,ROOT,_
1,25,时,n,0,ROOT,_
1,26,常,d,0,ROOT,_
1,27,夹,v,0,ROOT,_
1,28,些,q,0,ROOT,_
1,29,伤痕,n,0,ROOT,_
1,30,;,wp,0,ROOT,_
1,31,一,m,0,ROOT,_
1,32,部,q,0,ROOT,_
1,33,乱,a,0,ROOT,_
1,34,蓬,z,0,ROOT,_
1,35,蓬,a,0,ROOT,_
1,36,的,u,0,ROOT,_
1,37,花白,z,0,ROOT,_
1,38,的,u,0,ROOT,_
1,39,胡子,n,0,ROOT,_
1,40,。,wp,0,ROOT,_
1,41,穿,v,0,ROOT,_
1,42,的,u,0,ROOT,_
1,43,虽然,c,0,ROOT,_
1,44,是,v,0,ROOT,_
1,45,长衫,n,0,ROOT,_
1,46,，,wp,0,ROOT,_
1,47,可是,c,0,ROOT,_
1,48,又,d,0,ROOT,_
1,49,脏,a,0,ROOT,_
1,50,又,d,0,ROOT,_
1,51,破,a,0,ROOT,_
1,52,，,wp,0,ROOT,_
1,53,似乎,d,0,ROOT,_
1,54,十,m,0,ROOT,_
1,55,多,m,0,ROOT,_
1,56,年,q,0,ROOT,_
1,57,没有,d,0,ROOT,_
1,58,补,v,0,ROOT,_
1,59,，,wp,0,ROOT,_
