sentence_id,token_idx,token,pos,head_idx,head_token,rel
1,1,近日,nt,0,ROOT,_
1,2,，,wp,0,ROOT,_
1,3,由,p,0,ROOT,_
1,4,全国,n,0,ROOT,_
1,5,载人,b,0,ROOT,_
1,6,航天,n,0,ROOT,_
1,7,标准化,v,0,ROOT,_
1,8,技术,n,0,ROOT,_
1,9,委员会,n,0,ROOT,_
1,10,组织,v,0,ROOT,_
1,11,提出,v,0,ROOT,_
1,12,的,u,0,ROOT,_
1,13,国际,n,0,ROOT,_
1,14,标准,n,0,ROOT,_
1,15,项目,n,0,ROOT,_
1,16,ISO/NP14620-5,ws,0,ROOT,_
1,17,《,wp,0,ROOT,_
1,18,航天,n,0,ROOT,_
1,19,系统,n,0,ROOT,_
1,20,一,m,0,ROOT,_
1,21,安全性,n,0,ROOT,_
1,22,要求,n,0,ROOT,_
1,23,一,m,0,ROOT,_
1,24,第5,m,0,ROOT,_
1,25,部分,n,0,ROOT,_
1,26,：,wp,0,ROOT,_
1,27,载人,b,0,ROOT,_
1,28,航天器,n,0,ROOT,_
1,29,》,wp,0,ROOT,_
1,30,，,wp,0,ROOT,_
1,31,在,p,0,ROOT,_
1,32,国际,n,0,ROOT,_
1,33,标准化,v,0,ROOT,_
1,34,组织,n,0,ROOT,_
1,35,（,wp,0,ROOT,_
1,36,ISO,ws,0,ROOT,_
1,37,）,wp,0,ROOT,_
1,38,正式,a,0,ROOT,_
1,39,注册,v,0,ROOT,_
1,40,立项,v,0,ROOT,_
1,41,。,wp,0,ROOT,_
1,42,这,r,0,ROOT,_
1,43,是,v,0,ROOT,_
1,44,我国,n,0,ROOT,_
1,45,载人,b,0,ROOT,_
1,46,航天,n,0,ROOT,_
1,47,领域,n,0,ROOT,_
1,48,首,m,0,ROOT,_
1,49,个,q,0,ROOT,_
1,50,成功,a,0,ROOT,_
1,51,立项,v,0,ROOT,_
1,52,的,u,0,ROOT,_
1,53,国际,n,0,ROOT,_
1,54,标准,n,0,ROOT,_
1,55,，,wp,0,ROOT,_
1,56,也,d,0,ROOT,_
1,57,是,v,0,ROOT,_
1,58,该,r,0,ROOT,_
1,59,领域,n,0,ROOT,_
1,60,在,p,0,ROOT,_
1,61,国际,n,0,ROOT,_
1,62,规则,n,0,ROOT,_
1,63,制定,v,0,ROOT,_
1,64,中,nd,0,ROOT,_
1,65,的,u,0,ROOT,_
1,66,首,m,0,ROOT,_
1,67,次,q,0,ROOT,_
1,68,突破,v,0,ROOT,_
1,69,，,wp,0,ROOT,_
1,70,为,p,0,ROOT,_
1,71,促进,v,0,ROOT,_
1,72,载人,b,0,ROOT,_
1,73,航天,n,0,ROOT,_
1,74,飞行,v,0,ROOT,_
1,75,安全,a,0,ROOT,_
1,76,提供,v,0,ROOT,_
1,77,了,u,0,ROOT,_
1,78,“,wp,0,ROOT,_
1,79,中国,ns,0,ROOT,_
1,80,方案,n,0,ROOT,_
1,81,”,wp,0,ROOT,_
1,82,，,wp,0,ROOT,_
1,83,将,d,0,ROOT,_
1,84,进一步,d,0,ROOT,_
1,85,提升,v,0,ROOT,_
1,86,我国,n,0,ROOT,_
1,87,载人,b,0,ROOT,_
1,88,航天,n,0,ROOT,_
1,89,国际,n,0,ROOT,_
1,90,话语权,n,0,ROOT,_
1,91,和,c,0,ROOT,_
1,92,影响力,n,0,ROOT,_
1,93,。,wp,0,ROOT,_
2,1,该,r,0,ROOT,_
2,2,标准,n,0,ROOT,_
2,3,在,p,0,ROOT,_
2,4,研究,v,0,ROOT,_
2,5,和,c,0,ROOT,_
2,6,借鉴,v,0,ROOT,_
2,7,国外,nl,0,ROOT,_
2,8,航天,n,0,ROOT,_
2,9,领域,n,0,ROOT,_
2,10,安全性,n,0,ROOT,_
2,11,先进,a,0,ROOT,_
2,12,技术,n,0,ROOT,_
2,13,和,c,0,ROOT,_
2,14,方法,n,0,ROOT,_
2,15,的,u,0,ROOT,_
2,16,基础,n,0,ROOT,_
2,17,上,nd,0,ROOT,_
2,18,，,wp,0,ROOT,_
2,19,总结,v,0,ROOT,_
2,20,我国,n,0,ROOT,_
2,21,载人,b,0,ROOT,_
2,22,航天,n,0,ROOT,_
2,23,工程,n,0,ROOT,_
2,24,30,m,0,ROOT,_
2,25,余,m,0,ROOT,_
2,26,年,q,0,ROOT,_
2,27,安全性,n,0,ROOT,_
2,28,工作,v,0,ROOT,_
2,29,经验,n,0,ROOT,_
2,30,，,wp,0,ROOT,_
2,31,提出,v,0,ROOT,_
2,32,适用,v,0,ROOT,_
2,33,于,p,0,ROOT,_
